Lan Chay,Time,Co Sac,Khong Sac
No.0,134566.29502749443,555187.468549248,9045.0195950851
No.1,51968.232229709625,522604.45753284264,9045.0195950851
No.2,149337.7822253704,618051.220053009,9045.0195950851
No.3,181257.02980685234,812051.2381746687,9045.0195950851
No.4,101171.16452074051,414695.74015998526,9045.0195950851
Average,123660.10076203346,584518.0248939507,9045.0195950851
,,182517.23581373118,
