Lan Chay,Time,Co Sac,Khong Sac
No.0,41187.28533244133,426452.02149291686,9045.0195950851
No.1,155096.24786019325,650968.9398827071,9045.0195950851
No.2,236376.01236486435,1024315.0788532476,9045.0195950851
No.3,136792.56408691406,539763.8733599975,9045.0195950851
No.4,96054.52870249748,473666.1534208641,9045.0195950851
Average,133101.3276693821,623033.2134019467,9045.0195950851
,,297543.73896740575,
