Lan Chay,Time,Co Sac,Khong Sac
No.0,10857.77651977539,67540.52068144342,5347.5935828877
No.1,9266.520733118057,64274.30712094993,5347.5935828877
No.2,8122.763370513916,67014.9093008974,5347.5935828877
No.3,10171.585344552994,78302.77497678832,5347.5935828877
No.4,7829.001514196396,53968.24132781724,5347.5935828877
Average,9249.52949643135,66220.15068157927,5347.5935828877
,,10793.560562445167,
