Lan Chay,Time,Co Sac,Khong Sac
No.0,5339.678911924362,304258.1142997599,9045.0195950851
No.1,9018.307050704956,242547.60833713194,9045.0195950851
No.2,4461.763541698456,281659.22426656506,9045.0195950851
No.3,5493.334805488586,412404.6037189178,9045.0195950851
No.4,5301.339106798172,283991.95654897386,9045.0195950851
Average,5922.884683322906,304972.30143426976,9045.0195950851
,,79560.3567761767,
